cop_l_x	cop_l_y	cop_l_z	for_l_x	for_l_y	for_l_z	mom_l_x	mom_l_y	mom_l_z	cop_r_x	cop_r_y	cop_r_z	for_r_x	for_r_y	for_r_z	mom_r_x	mom_r_y	mom_r_z
-0.052377999999999994	0.0	0.170433	87.846008	625.457458	-26.1439	-106.598473	1.937856	-32.760353	-0.626366	0.0	-0.032109	-62.701004000000005	18.339605	-18.741979999999998	0.588867	-6.184633	-11.487308
-0.052454999999999995	0.0	0.17091199999999998	88.055679	626.5031740000001	-26.386011	-107.076675	1.97855	-32.86298	-0.625095	0.0	-0.033177	-62.665482	18.362358	-18.712482	0.609214	-6.19205	-11.478219000000001
-0.052765	0.0	0.172947	88.934349	631.034851	-27.439636	-109.13573500000001	2.148016	-33.296397999999996	-0.6212529999999999	0.0	-0.037295	-62.553490000000004	18.432192	-18.611078	0.6874239999999999	-6.227769	-11.451061
-0.053314999999999994	0.0	0.17681	90.547112	639.759338	-29.476872999999998	-113.11558500000001	2.463971	-34.109077	-0.615826	0.0	-0.044922000000000004	-62.431442000000004	18.5359	-18.482809	0.832667	-6.297752	-11.414883
-0.0541	0.0	0.182873	92.983818	653.539185	-32.728428	-119.51451100000001	2.963237	-35.356152	-0.607949	0.0	-0.055279999999999996	-62.334816000000004	18.692923999999998	-18.385006	1.033348	-6.398572	-11.364344000000001
-0.054746	0.0	0.188699	95.260666	666.735718	-35.925705	-125.81243899999998	3.4523230000000003	-36.501102	-0.6000449999999999	0.0	-0.061266999999999995	-62.215912	18.855759	-18.376023999999997	1.155245	-6.467356	-11.314303
-0.055311	0.0	0.195622	97.784912	682.0476679999999	-39.864174	-133.423508	4.0211440000000005	-37.724903000000005	-0.583378	0.0	-0.06621	-61.922112	19.282581	-18.593115	1.276704	-6.46978	-11.249024
-0.055596000000000007	0.0	0.202302	99.733475	696.098694	-43.884555999999996	-140.822357	4.520247	-38.700226	-0.5358539999999999	0.0	-0.079038	-61.453423	20.778517	-19.548426	1.6422900000000002	-6.388858	-11.134249
-0.055554	0.0	0.208775	100.644325	708.343567	-48.171253	-147.88429299999999	4.881914	-39.351479	-0.43079300000000004	0.0	-0.106701	-60.758438	25.160868	-22.129482	2.6846959999999997	-6.258073	-10.839131
-0.055146	0.0	0.21481599999999998	100.0924	717.009521	-52.767761	-154.025192	4.97061	-39.539970000000004	-0.297238	0.0	-0.13661700000000002	-59.616165	34.391102000000004	-26.451288	4.698403	-6.116733999999999	-10.222328
-0.054436	0.0	0.220479	98.208519	720.586792	-57.482891	-158.873947	4.765509	-39.225582	-0.189253	0.0	-0.15429500000000002	-57.697456	49.018566	-31.085943	7.563332000000001	-6.113396	-9.276905000000001
-0.053435	0.0	0.226696	95.126122	718.412781	-62.594013000000004	-162.861191	4.344802	-38.388134	-0.11127100000000001	0.0	-0.162571	-54.563553000000006	71.005974	-34.726402	11.54353	-6.399443	-7.9009100000000005
-0.052171	0.0	0.234006	90.838364	708.995056	-68.405243	-165.909286	3.72065	-36.989098	-0.057063	0.0	-0.167707	-50.167823999999996	103.01185600000001	-35.886288	17.275776	-6.95649	-5.87817
-0.050892	0.0	0.24156799999999998	85.978241	693.0186769999999	-74.221275	-167.411255	3.020452	-35.269188	-0.023719	0.0	-0.173022	-45.653904	141.43237299999998	-33.386269	24.470903	-7.694756	-3.3546300000000002
-0.049112	0.0	0.252213	78.862083	661.962524	-81.656311	-166.95550500000002	2.156549	-32.510323	0.003431	0.0	-0.181301	-40.260735	200.176147	-24.159613	36.29213	-9.088999000000001	0.6868770000000001
-0.047932	0.0	0.258916	74.501244	638.02301	-85.670792	-165.194077	1.7231299999999998	-30.58186	0.014185	0.0	-0.1864	-37.571526	237.564453	-15.554067000000002	44.281998	-10.085479	3.369935
-0.045937	0.0	0.269175	68.458099	595.729858	-90.339996	-160.355774	1.244367	-27.365982000000002	0.025552000000000002	0.0	-0.19315	-34.53735	291.5625	0.254484	56.315234999999994	-11.46588	7.450044
-0.043342	0.0	0.28089400000000003	62.618176	543.5811160000001	-93.204132	-152.688522	0.906265	-23.559877	0.034065	0.0	-0.19833	-32.580311	345.088074	19.357414000000002	68.441467	-12.703055	11.755267
-0.03982	0.0	0.294526	56.921642000000006	483.07299800000004	-93.32209	-142.277466	0.632885	-19.23583	0.0407	0.0	-0.20113599999999998	-32.115265	395.77493300000003	40.249790000000004	79.604614	-13.772967999999999	16.108088000000002
-0.03486	0.0	0.310747	51.128464	415.65475499999997	-89.867325	-129.163651	0.40981300000000004	-14.489899	0.046205	0.0	-0.201406	-33.449341	443.14038099999993	61.661384999999996	89.251266	-14.683584	20.475142
-0.028148000000000003	0.0	0.329259	45.508236	347.683197	-82.930977	-114.477943	0.285518	-9.786616	0.050772000000000005	0.0	-0.199371	-36.32526	485.20550499999996	81.236992	96.735855	-15.356727	24.634769
-0.018844	0.0	0.351069	40.218323	281.763	-73.236465	-98.91828199999999	0.26152	-5.309648999999999	0.054730999999999995	0.0	-0.195346	-40.110092	523.433411	98.183151	102.250458	-15.798651000000001	28.648196999999996
-0.0042439999999999995	0.0	0.380877	35.130154	215.73045299999998	-61.142262	-82.16686999999999	0.279789	-0.915531	0.058472	0.0	-0.18901400000000002	-44.479919	561.545227	112.79380800000001	106.139702	-16.050663	32.834625
0.01718	0.0	0.420683	30.883352000000002	159.398178	-49.419261999999996	-67.056175	0.243721	2.73847	0.061565999999999996	0.0	-0.181278	-48.558323	595.559937	122.79396799999999	107.961693	-16.071228	36.665958
0.05715800000000001	0.0	0.491112	26.733828999999997	106.281876	-37.516609	-52.196259000000005	0.112812	6.074885	0.064428	0.0	-0.171321	-52.742084999999996	630.394958	129.327637	107.99974099999999	-15.871222	40.615253
0.13048099999999999	0.0	0.615794	23.315842	65.548286	-27.918119	-40.364227	-0.06239	8.552786	0.066621	0.0	-0.16121300000000002	-56.150352000000005	659.9685059999999	131.677292	106.39538600000002	-15.568863	43.967831
0.328329	0.0	0.943649	20.335379	32.074303	-19.703974	-30.266876	-0.227508	10.530927	0.068486	0.0	-0.15035199999999999	-58.94611	686.8857419999999	130.956467	103.27471899999999	-15.195160999999999	47.042004
2.161798	0.0	3.954489	17.892019	5.56962	-12.975076	-22.025002999999998	-0.32459299999999996	12.040392	0.07009800000000001	0.0	-0.138756	-61.025463	710.178162	127.39625500000001	98.54160300000001	-14.718654	49.781944
-0.9993120000000001	0.0	-1.24416	16.127270000000003	-13.058455	-8.205081	-16.246805	-0.39066300000000004	13.049478	0.07142799999999999	0.0	-0.12714	-62.354	727.21228	121.68186999999999	92.458015	-14.164976999999999	51.94339
-0.533509	0.0	-0.491675	14.890935	-25.648544	-5.133516	-12.610761	-0.508389	13.683728	0.072615	0.0	-0.115098	-63.192623	737.760315	114.209015	84.914902	-13.558770999999998	53.572529
-0.42490200000000006	0.0	-0.32769899999999996	14.127245000000002	-32.970242	-3.604569	-10.804306	-0.682603	14.009125	0.073689	0.0	-0.103209	-63.719784	741.254272	105.832497	76.504211	-12.949114	54.622634999999995
-0.385997	0.0	-0.275382	13.722059	-36.624714000000004	-3.099885	-10.085795	-0.8556440000000001	14.137020000000001	0.074745	0.0	-0.09102400000000001	-64.075722	738.189148	96.643883	67.19309200000001	-12.319234	55.175835
-0.377348	0.0	-0.266545	13.688506	-37.472626	-3.238324	-9.988149	-0.9540620000000001	14.140232000000001	0.07576799999999999	0.0	-0.078924	-64.225021	729.144409	87.29026800000001	57.547343999999995	-11.754876	55.245796
-0.38664299999999996	0.0	-0.280775	13.998289000000002	-36.388329	-3.7688550000000003	-10.216923	-0.978567	14.069298000000002	0.07678099999999999	0.0	-0.066742	-64.113388	715.04425	77.95948	47.723316	-11.291428	54.902016
-0.40979799999999994	0.0	-0.31400500000000003	14.563303	-34.01038	-4.604355	-10.679443	-0.960981	13.937401999999999	0.07779900000000001	0.0	-0.054288	-63.731991	696.956848	68.679771	37.836502	-10.863126	54.222457999999996
-0.443119	0.0	-0.36386399999999997	15.217607999999998	-31.080524	-5.602899	-11.309091	-0.929035	13.77236	0.07875499999999999	0.0	-0.042226	-63.151161	677.315186	60.056923	28.600528999999998	-10.457837	53.341956999999994
-0.487436	0.0	-0.431684	15.880243	-27.902782000000002	-6.671494	-12.045197	-0.8974129999999999	13.600817000000001	0.079721	0.0	-0.029758999999999997	-62.381451	656.020935	51.684212	19.522743	-10.091299000000001	52.298598999999996
-0.5389689999999999	0.0	-0.5081640000000001	16.458971	-24.9643	-7.59132	-12.685967	-0.855089	13.454977	0.08065900000000001	0.0	-0.017708	-61.492062	635.227417	44.175793	11.248609	-9.817688	51.236805
-0.596022	0.0	-0.586422	16.986097	-22.387501	-8.308064	-13.128526999999998	-0.773502	13.343441	0.081572	0.0	-0.005998	-60.457469999999994	615.363098	37.394878000000006	3.690921	-9.602208000000001	50.196548
-0.655543	0.0	-0.6622	17.497765	-20.250760999999997	-8.859292	-13.410053	-0.666096	13.275248000000001	0.082447	0.0	0.005376	-59.270194999999994	597.143372	31.27256	-3.210106	-9.38377	49.232834000000004
-0.714292	0.0	-0.736413	17.971602999999998	-18.538142999999998	-9.343838	-13.651720999999998	-0.5914159999999999	13.241642	0.08329500000000001	0.0	0.01652	-58.023807999999995	581.199158	25.726976	-9.601171	-9.145108	48.410889000000005
-0.7730090000000001	0.0	-0.814706	18.378056	-17.105854	-9.864874	-13.936248999999998	-0.585237	13.222985000000001	0.084186	0.0	0.028247	-56.77466999999999	566.951355	20.315148999999998	-16.014879	-8.879961999999999	47.729332
-0.8208620000000001	0.0	-0.881559	18.659855	-16.107336	-10.327971	-14.19956	-0.635533	13.221898000000001	0.085038	0.0	0.039086	-55.750164	556.176331	15.62682	-21.738889999999998	-8.631789	47.296227
-0.85905	0.0	-0.934083	18.894121	-15.412476999999999	-10.684088000000001	-14.396537	-0.712842	13.240092	0.085977	0.0	0.0502	-54.844601000000004	547.575256	11.14847	-27.488196999999996	-8.423933	47.078701
-0.8843989999999999	0.0	-0.9689040000000001	19.135244	-14.980481	-10.868501	-14.514648000000001	-0.798463	13.248726999999999	0.086953	0.0	0.061126	-54.07127	541.545471	7.066356	-33.102528	-8.287842	47.088932
-0.898119	0.0	-0.990812	19.399898999999998	-14.730495000000001	-10.929122999999999	-14.595149	-0.892458	13.229735	0.087866	0.0	0.07131599999999999	-53.425262	538.13855	3.461867	-38.377884	-8.17297	47.284
-0.9025709999999999	0.0	-1.0030350000000001	19.632154	-14.617598999999998	-10.922301	-14.661967	-1.001747	13.193414	0.088726	0.0	0.081415	-52.86039399999999	536.9646	0.012334999999999999	-43.717048999999996	-8.030948	47.642933
-0.899645	0.0	-1.00758	19.707993	-14.605274	-10.844077	-14.715979	-1.115949	13.139567000000001	0.089459	0.0	0.09081499999999999	-52.43912099999999	537.921509	-3.101148	-48.851428999999996	-7.891058999999999	48.12207
-0.891739	0.0	-1.005197	19.594461	-14.647703	-10.687888000000001	-14.723825	-1.22953	13.061926	0.090114	0.0	0.10021000000000001	-52.107208	540.914795	-6.157858999999999	-54.204853	-7.776464	48.743953999999995
-0.880539	0.0	-0.9935860000000001	19.384966	-14.742033	-10.497699	-14.647475	-1.307169	12.980932000000001	0.090681	0.0	0.109322	-51.758488	545.758301	-9.192857	-59.663456000000004	-7.657883999999999	49.490009
